"Plot Title: 10904790"
"#","Date Time, GMT+00:00","Full Range, μS/cm (LGR S/N: 10904790, SEN S/N: 10904790)","Temp, °C (LGR S/N: 10904790, SEN S/N: 10904790)","Coupler Detached (LGR S/N: 10904790)","End Of File (LGR S/N: 10904790)"
154,05/10/22 07:02:33 PM,1.0,35.47,,
155,05/10/22 07:02:34 PM,4.3,35.47,,
156,05/10/22 07:02:35 PM,1.0,35.45,,
157,05/10/22 07:02:36 PM,1.0,35.45,,
158,05/10/22 07:02:37 PM,1.0,35.45,,
159,05/10/22 07:02:38 PM,1.0,35.45,,
160,05/10/22 07:02:39 PM,1.0,35.44,,
161,05/10/22 07:02:40 PM,1.0,35.44,,
162,05/10/22 07:02:41 PM,1.0,35.44,,
163,05/10/22 07:02:42 PM,1.0,35.44,,
164,05/10/22 07:02:43 PM,1.0,35.44,,
165,05/10/22 07:02:44 PM,1.0,35.44,,
166,05/10/22 07:02:45 PM,1.0,35.44,,
167,05/10/22 07:02:46 PM,1.0,35.43,,
168,05/10/22 07:02:47 PM,1.0,35.43,,
169,05/10/22 07:02:48 PM,1.0,35.43,,
170,05/10/22 07:02:49 PM,1.0,35.41,,
171,05/10/22 07:02:50 PM,1.0,35.41,,
172,05/10/22 07:02:51 PM,1.0,35.41,,
173,05/10/22 07:02:52 PM,1.0,35.41,,
174,05/10/22 07:02:53 PM,1.0,35.40,,
175,05/10/22 07:02:54 PM,1.0,35.39,,
176,05/10/22 07:02:55 PM,1.0,35.39,,
177,05/10/22 07:02:56 PM,1.0,35.39,,
178,05/10/22 07:02:57 PM,1.0,35.39,,
179,05/10/22 07:02:58 PM,1.0,35.39,,
180,05/10/22 07:02:59 PM,1.0,35.39,,
181,05/10/22 07:03:00 PM,1.0,35.39,,
182,05/10/22 07:03:01 PM,1.0,35.39,,
183,05/10/22 07:03:02 PM,1.0,35.38,,
184,05/10/22 07:03:03 PM,1.0,35.38,,
185,05/10/22 07:03:04 PM,7.2,35.38,,
186,05/10/22 07:03:05 PM,1.0,35.38,,
187,05/10/22 07:03:06 PM,1.0,35.38,,
188,05/10/22 07:03:07 PM,1.0,35.36,,
189,05/10/22 07:03:08 PM,1.0,35.36,,
190,05/10/22 07:03:09 PM,1.0,35.36,,
191,05/10/22 07:03:10 PM,1.0,35.36,,
192,05/10/22 07:03:11 PM,1.0,35.36,,
193,05/10/22 07:03:12 PM,1.0,35.35,,
194,05/10/22 07:03:13 PM,7.2,35.35,,
195,05/10/22 07:03:14 PM,1.0,35.34,,
196,05/10/22 07:03:15 PM,1.0,35.33,,
197,05/10/22 07:03:16 PM,1.0,35.34,,
198,05/10/22 07:03:17 PM,1.0,35.34,,
199,05/10/22 07:03:18 PM,1.0,35.34,,
200,05/10/22 07:03:19 PM,1.0,35.34,,
201,05/10/22 07:03:20 PM,1.0,35.34,,
202,05/10/22 07:03:21 PM,1.0,35.33,,
203,05/10/22 07:03:22 PM,1.0,35.33,,
204,05/10/22 07:03:23 PM,1.0,35.31,,
205,05/10/22 07:03:24 PM,1.0,35.33,,
206,05/10/22 07:03:25 PM,1.0,35.33,,
207,05/10/22 07:03:26 PM,1.0,35.33,,
208,05/10/22 07:03:27 PM,-0.4,35.33,,
209,05/10/22 07:03:28 PM,-0.4,35.33,,
210,05/10/22 07:03:29 PM,1.0,35.31,,
211,05/10/22 07:03:30 PM,1.0,35.31,,
212,05/10/22 07:03:31 PM,4.3,35.30,,
213,05/10/22 07:03:32 PM,1.0,35.30,,
214,05/10/22 07:03:33 PM,1.0,35.30,,
215,05/10/22 07:03:34 PM,1.0,35.30,,
216,05/10/22 07:03:35 PM,1.0,35.30,,
217,05/10/22 07:03:36 PM,1.0,35.30,,
218,05/10/22 07:03:37 PM,1.0,35.30,,
219,05/10/22 07:03:38 PM,1.0,35.29,,
220,05/10/22 07:03:39 PM,1.0,35.29,,
221,05/10/22 07:03:40 PM,1.0,35.30,,
222,05/10/22 07:03:41 PM,1.0,35.30,,
223,05/10/22 07:03:42 PM,1.0,35.29,,
224,05/10/22 07:03:43 PM,1.0,35.30,,
225,05/10/22 07:03:44 PM,7.2,35.29,,
226,05/10/22 07:03:45 PM,1.0,35.30,,
227,05/10/22 07:03:46 PM,1.0,35.29,,
228,05/10/22 07:03:47 PM,1.0,35.29,,
229,05/10/22 07:03:48 PM,7.2,35.28,,
230,05/10/22 07:03:49 PM,1.0,35.28,,
231,05/10/22 07:03:50 PM,1.0,35.28,,
232,05/10/22 07:03:51 PM,1.0,35.29,,
233,05/10/22 07:03:52 PM,1.0,35.29,,
234,05/10/22 07:03:53 PM,1.0,35.29,,
235,05/10/22 07:03:54 PM,1.0,35.29,,
236,05/10/22 07:03:55 PM,1.0,35.28,,
237,05/10/22 07:03:56 PM,1.0,35.28,,
238,05/10/22 07:03:57 PM,1.0,35.28,,
239,05/10/22 07:03:58 PM,1.0,35.28,,
240,05/10/22 07:03:59 PM,7.2,35.28,,
241,05/10/22 07:04:00 PM,7.2,35.28,,
242,05/10/22 07:04:01 PM,7.2,35.28,,
243,05/10/22 07:04:02 PM,1.0,35.28,,
244,05/10/22 07:04:03 PM,1.0,35.29,,
245,05/10/22 07:04:04 PM,1.0,35.33,,
246,05/10/22 07:04:05 PM,1.0,35.34,,
247,05/10/22 07:04:06 PM,1.0,35.33,,
248,05/10/22 07:04:07 PM,4.3,35.36,,
249,05/10/22 07:04:08 PM,1.0,35.36,,
250,05/10/22 07:04:09 PM,1.0,35.34,,
251,05/10/22 07:04:10 PM,1.0,35.36,,
252,05/10/22 07:04:11 PM,1.0,35.38,,
253,05/10/22 07:04:12 PM,1.0,35.39,,
254,05/10/22 07:04:13 PM,1.0,35.40,,
255,05/10/22 07:04:14 PM,1.0,35.43,,
256,05/10/22 07:04:15 PM,1.0,35.39,,
257,05/10/22 07:04:16 PM,1.0,35.38,,
258,05/10/22 07:04:17 PM,1.0,35.36,,
259,05/10/22 07:04:18 PM,1.0,35.36,,
260,05/10/22 07:04:19 PM,1.0,35.38,,
261,05/10/22 07:04:20 PM,1.0,35.38,,
262,05/10/22 07:04:21 PM,1.0,35.39,,
263,05/10/22 07:04:22 PM,1.0,35.38,,
264,05/10/22 07:04:23 PM,1.0,35.38,,
265,05/10/22 07:04:24 PM,4.3,35.36,,
266,05/10/22 07:04:25 PM,1.0,35.36,,
267,05/10/22 07:04:26 PM,1.0,35.36,,
268,05/10/22 07:04:27 PM,7.2,35.36,,
269,05/10/22 07:04:28 PM,1.0,35.36,,
270,05/10/22 07:04:29 PM,1.0,35.36,,
271,05/10/22 07:04:30 PM,7.2,35.36,,
272,05/10/22 07:04:31 PM,1.0,35.38,,
273,05/10/22 07:04:32 PM,1.0,35.39,,
274,05/10/22 07:04:33 PM,1.0,35.40,,
275,05/10/22 07:04:34 PM,1.0,35.40,,
276,05/10/22 07:04:35 PM,7.2,35.40,,
277,05/10/22 07:04:36 PM,7.2,35.41,,
278,05/10/22 07:04:37 PM,1.0,35.43,,
279,05/10/22 07:04:38 PM,1.0,35.43,,
280,05/10/22 07:04:39 PM,1.0,35.43,,
281,05/10/22 07:04:40 PM,1.0,35.44,,
282,05/10/22 07:04:41 PM,1.0,35.44,,
283,05/10/22 07:04:42 PM,1.0,35.44,,
284,05/10/22 07:04:43 PM,1.0,35.44,,
285,05/10/22 07:04:44 PM,1.0,35.44,,
286,05/10/22 07:04:45 PM,1.0,35.47,,
287,05/10/22 07:04:46 PM,7.2,35.45,,
288,05/10/22 07:04:47 PM,1.0,35.49,,
289,05/10/22 07:04:48 PM,7.2,35.62,,
290,05/10/22 07:04:49 PM,1.0,35.89,,
291,05/10/22 07:04:50 PM,1.0,35.94,,
292,05/10/22 07:04:51 PM,1.0,36.11,,
293,05/10/22 07:04:52 PM,1.0,36.24,,
294,05/10/22 07:04:53 PM,1.0,36.37,,
295,05/10/22 07:04:54 PM,1.0,36.31,,
296,05/10/22 07:04:55 PM,1.0,36.17,,
297,05/10/22 07:04:56 PM,1.0,36.17,,
298,05/10/22 07:04:57 PM,1.0,36.12,,
299,05/10/22 07:04:58 PM,1.0,36.06,,
300,05/10/22 07:04:59 PM,1.0,36.05,,
301,05/10/22 07:05:00 PM,1.0,36.02,,
302,05/10/22 07:05:01 PM,558.5,29.29,,
303,05/10/22 07:05:02 PM,569.3,28.62,,
304,05/10/22 07:05:03 PM,571.0,28.40,,
305,05/10/22 07:05:04 PM,556.2,27.97,,
306,05/10/22 07:05:05 PM,554.1,27.69,,
307,05/10/22 07:05:06 PM,560.2,27.69,,
308,05/10/22 07:05:07 PM,556.1,27.49,,
309,05/10/22 07:05:08 PM,552.1,27.14,,
310,05/10/22 07:05:09 PM,554.7,27.26,,
311,05/10/22 07:05:10 PM,543.8,26.77,,
312,05/10/22 07:05:11 PM,546.5,26.82,,
313,05/10/22 07:05:12 PM,548.1,26.77,,
314,05/10/22 07:05:13 PM,537.9,26.34,,
315,05/10/22 07:05:14 PM,540.2,26.39,,
316,05/10/22 07:05:15 PM,539.8,26.30,,
317,05/10/22 07:05:16 PM,542.1,26.43,,
318,05/10/22 07:05:17 PM,540.6,26.38,,
319,05/10/22 07:05:18 PM,539.9,26.25,,
320,05/10/22 07:05:19 PM,541.0,26.24,,
321,05/10/22 07:05:20 PM,541.0,26.31,,
322,05/10/22 07:05:21 PM,540.7,26.19,,
323,05/10/22 07:05:22 PM,540.7,26.15,,
324,05/10/22 07:05:23 PM,539.9,26.20,,
325,05/10/22 07:05:24 PM,538.9,25.94,,
326,05/10/22 07:05:25 PM,535.9,25.77,,
327,05/10/22 07:05:26 PM,537.4,25.80,,
328,05/10/22 07:05:27 PM,534.1,25.60,,
329,05/10/22 07:05:28 PM,533.4,25.44,,
330,05/10/22 07:05:29 PM,536.0,25.67,,
331,05/10/22 07:05:30 PM,536.6,25.84,,
332,05/10/22 07:05:31 PM,535.6,25.71,,
333,05/10/22 07:05:32 PM,534.8,25.61,,
334,05/10/22 07:05:33 PM,535.2,25.61,,
335,05/10/22 07:05:34 PM,536.7,25.72,,
336,05/10/22 07:05:35 PM,538.6,25.87,,
337,05/10/22 07:05:36 PM,537.8,25.76,,
338,05/10/22 07:05:37 PM,535.6,25.66,,
339,05/10/22 07:05:38 PM,539.0,25.81,,
340,05/10/22 07:05:39 PM,540.4,25.97,,
341,05/10/22 07:05:40 PM,538.6,25.86,,
342,05/10/22 07:05:41 PM,541.9,26.04,,
343,05/10/22 07:05:42 PM,537.8,25.82,,
344,05/10/22 07:05:43 PM,536.7,25.71,,
345,05/10/22 07:05:44 PM,535.6,25.58,,
346,05/10/22 07:05:45 PM,534.5,25.49,,
347,05/10/22 07:05:46 PM,536.0,25.56,,
348,05/10/22 07:05:47 PM,539.1,25.63,,
349,05/10/22 07:05:48 PM,537.9,25.66,,
350,05/10/22 07:05:49 PM,534.5,25.48,,
351,05/10/22 07:05:50 PM,534.9,25.53,,
352,05/10/22 07:05:51 PM,536.0,25.61,,
353,05/10/22 07:05:52 PM,536.8,25.63,,
354,05/10/22 07:05:53 PM,535.6,25.60,,
355,05/10/22 07:05:54 PM,537.9,25.65,,
356,05/10/22 07:05:55 PM,536.4,25.61,,
357,05/10/22 07:05:56 PM,533.8,25.36,,
358,05/10/22 07:05:57 PM,533.8,25.44,,
359,05/10/22 07:05:58 PM,535.7,25.49,,
360,05/10/22 07:05:59 PM,534.9,25.46,,
361,05/10/22 07:06:00 PM,533.8,25.39,,
362,05/10/22 07:06:01 PM,534.5,25.46,,
363,05/10/22 07:06:02 PM,534.9,25.46,,
364,05/10/22 07:06:03 PM,536.8,25.61,,
365,05/10/22 07:06:04 PM,534.5,25.47,,
366,05/10/22 07:06:05 PM,534.9,25.51,,
367,05/10/22 07:06:06 PM,535.7,25.47,,
368,05/10/22 07:06:07 PM,536.9,25.43,,
369,05/10/22 07:06:08 PM,534.6,25.38,,
370,05/10/22 07:06:09 PM,536.9,25.46,,
371,05/10/22 07:06:10 PM,537.2,25.61,,
372,05/10/22 07:06:11 PM,536.8,25.57,,
373,05/10/22 07:06:12 PM,537.6,25.57,,
374,05/10/22 07:06:13 PM,532.7,25.32,,
375,05/10/22 07:06:14 PM,533.8,25.41,,
376,05/10/22 07:06:15 PM,535.3,25.41,,
377,05/10/22 07:06:16 PM,534.6,25.37,,
378,05/10/22 07:06:17 PM,536.5,25.38,,
379,05/10/22 07:06:18 PM,534.2,25.33,,
380,05/10/22 07:06:19 PM,535.7,25.41,,
381,05/10/22 07:06:20 PM,536.1,25.49,,
382,05/10/22 07:06:21 PM,534.2,25.34,,
383,05/10/22 07:06:22 PM,536.5,25.38,,
384,05/10/22 07:06:23 PM,533.1,25.24,,
385,05/10/22 07:06:24 PM,534.6,25.34,,
386,05/10/22 07:06:25 PM,533.5,25.28,,
387,05/10/22 07:06:26 PM,533.5,25.20,,
388,05/10/22 07:06:27 PM,534.3,25.28,,
389,05/10/22 07:06:28 PM,535.0,25.36,,
390,05/10/22 07:06:29 PM,534.6,25.37,,
391,05/10/22 07:06:30 PM,534.6,25.32,,
392,05/10/22 07:06:31 PM,533.1,25.23,,
393,05/10/22 07:06:32 PM,535.4,25.36,,
394,05/10/22 07:06:33 PM,535.4,25.38,,
395,05/10/22 07:06:34 PM,533.9,25.28,,
396,05/10/22 07:06:35 PM,534.6,25.36,,
397,05/10/22 07:06:36 PM,534.6,25.36,,
398,05/10/22 07:06:37 PM,534.6,25.31,,
399,05/10/22 07:06:38 PM,533.9,25.25,,
400,05/10/22 07:06:39 PM,535.8,25.37,,
401,05/10/22 07:06:40 PM,533.1,25.23,,
402,05/10/22 07:06:41 PM,534.7,25.27,,
403,05/10/22 07:06:42 PM,533.5,25.24,,
404,05/10/22 07:06:43 PM,533.9,25.28,,
405,05/10/22 07:06:44 PM,533.5,25.25,,
406,05/10/22 07:06:45 PM,534.6,25.32,,
407,05/10/22 07:06:46 PM,535.3,25.41,,
408,05/10/22 07:06:47 PM,535.4,25.38,,
409,05/10/22 07:06:48 PM,535.7,25.41,,
410,05/10/22 07:06:49 PM,535.4,25.33,,
411,05/10/22 07:06:50 PM,532.8,25.22,,
412,05/10/22 07:06:51 PM,533.5,25.24,,
413,05/10/22 07:06:52 PM,534.6,25.34,,
414,05/10/22 07:06:53 PM,533.5,25.22,,
415,05/10/22 07:06:54 PM,533.9,25.24,,
416,05/10/22 07:06:55 PM,533.1,25.22,,
417,05/10/22 07:06:56 PM,534.6,25.31,,
418,05/10/22 07:06:57 PM,533.5,25.22,,
419,05/10/22 07:06:58 PM,533.5,25.24,,
420,05/10/22 07:06:59 PM,535.1,25.19,,
421,05/10/22 07:07:00 PM,534.3,25.22,,
422,05/10/22 07:07:01 PM,535.0,25.28,,
423,05/10/22 07:07:02 PM,533.9,25.32,,
424,05/10/22 07:07:03 PM,534.6,25.28,,
425,05/10/22 07:07:04 PM,533.5,25.23,,
426,05/10/22 07:07:05 PM,533.2,25.19,,
427,05/10/22 07:07:06 PM,533.1,25.20,,
428,05/10/22 07:07:07 PM,532.4,25.15,,
429,05/10/22 07:07:08 PM,533.6,25.15,,
430,05/10/22 07:07:09 PM,532.4,25.17,,
431,05/10/22 07:07:10 PM,533.5,25.18,,
432,05/10/22 07:07:11 PM,533.5,25.18,,
433,05/10/22 07:07:12 PM,533.5,25.22,,
434,05/10/22 07:07:13 PM,532.8,25.12,,
435,05/10/22 07:07:14 PM,532.4,25.10,,
436,05/10/22 07:07:15 PM,532.4,25.14,,
437,05/10/22 07:07:16 PM,532.8,25.12,,
438,05/10/22 07:07:17 PM,532.8,25.09,,
439,05/10/22 07:07:18 PM,532.4,25.08,,
440,05/10/22 07:07:19 PM,532.8,25.15,,
441,05/10/22 07:07:20 PM,533.5,25.19,,
442,05/10/22 07:07:21 PM,533.2,25.18,,
443,05/10/22 07:07:22 PM,532.8,25.13,,
444,05/10/22 07:07:23 PM,533.6,25.15,,
445,05/10/22 07:07:24 PM,533.2,25.13,,
446,05/10/22 07:07:25 PM,533.5,25.18,,
447,05/10/22 07:07:26 PM,533.2,25.15,,
448,05/10/22 07:07:27 PM,532.1,25.05,,
449,05/10/22 07:07:28 PM,533.2,25.10,,
450,05/10/22 07:07:29 PM,532.1,25.08,,
451,05/10/22 07:07:30 PM,532.8,25.12,,
452,05/10/22 07:07:31 PM,532.5,25.07,,
453,05/10/22 07:07:32 PM,532.4,25.13,,
454,05/10/22 07:07:33 PM,532.8,25.15,,
455,05/10/22 07:07:34 PM,532.4,25.10,,
456,05/10/22 07:07:35 PM,533.2,25.07,,
457,05/10/22 07:07:36 PM,532.8,25.10,,
458,05/10/22 07:07:37 PM,532.5,25.05,,
459,05/10/22 07:07:38 PM,532.1,24.99,,
460,05/10/22 07:07:39 PM,532.5,25.07,,
461,05/10/22 07:07:40 PM,532.1,25.04,,
462,05/10/22 07:07:41 PM,532.8,25.10,,
463,05/10/22 07:07:42 PM,532.4,25.14,,
464,05/10/22 07:07:43 PM,532.4,25.10,,
465,05/10/22 07:07:44 PM,533.2,25.15,,
466,05/10/22 07:07:45 PM,532.8,25.10,,
467,05/10/22 07:07:46 PM,532.4,25.09,,
468,05/10/22 07:07:47 PM,532.1,25.03,,
469,05/10/22 07:07:48 PM,532.5,25.07,,
470,05/10/22 07:07:49 PM,532.1,25.04,,
471,05/10/22 07:07:50 PM,531.7,25.05,,
472,05/10/22 07:07:51 PM,532.1,25.08,,
473,05/10/22 07:07:52 PM,531.7,25.04,,
474,05/10/22 07:07:53 PM,532.1,25.07,,
475,05/10/22 07:07:54 PM,533.2,25.13,,
476,05/10/22 07:07:55 PM,532.0,25.10,,
477,05/10/22 07:07:56 PM,532.1,25.07,,
478,05/10/22 07:07:57 PM,532.4,25.09,,
479,05/10/22 07:07:58 PM,532.1,25.07,,
480,05/10/22 07:07:59 PM,532.5,25.04,,
481,05/10/22 07:08:00 PM,532.1,25.05,,
482,05/10/22 07:08:01 PM,532.4,25.10,,
483,05/10/22 07:08:02 PM,532.1,25.05,,
484,05/10/22 07:08:03 PM,533.2,25.08,,
485,05/10/22 07:08:04 PM,531.7,25.03,,
486,05/10/22 07:08:05 PM,532.1,25.03,,
487,05/10/22 07:08:06 PM,531.7,25.01,,
488,05/10/22 07:08:07 PM,531.3,24.98,,
489,05/10/22 07:08:08 PM,531.0,24.96,,
490,05/10/22 07:08:09 PM,531.3,24.99,,
491,05/10/22 07:08:10 PM,531.7,25.01,,
492,05/10/22 07:08:11 PM,532.1,25.03,,
493,05/10/22 07:08:12 PM,531.7,25.00,,
494,05/10/22 07:08:13 PM,531.7,25.01,,
495,05/10/22 07:08:14 PM,532.1,25.04,,
496,05/10/22 07:08:15 PM,532.1,25.01,,
497,05/10/22 07:08:16 PM,532.1,25.07,,
498,05/10/22 07:08:17 PM,531.7,25.04,,
499,05/10/22 07:08:18 PM,531.0,24.96,,
500,05/10/22 07:08:19 PM,531.3,24.99,,
501,05/10/22 07:08:20 PM,531.4,24.96,,
502,05/10/22 07:08:21 PM,531.7,25.01,,
503,05/10/22 07:08:22 PM,531.3,25.00,,
504,05/10/22 07:08:23 PM,531.7,25.03,,
505,05/10/22 07:08:24 PM,531.7,25.03,,
506,05/10/22 07:08:25 PM,532.8,25.08,,
507,05/10/22 07:08:26 PM,532.4,25.12,,
508,05/10/22 07:08:27 PM,531.3,24.98,,
